"id","date","invoices_distribution_types_id","clients_id","invoices_types_id","invoices_status_id","id","products_id","number","price","value",""
"6364","2020-10-03 15:50:00","1","1296","4","1","101290","40353","1.00000","7.17000","7.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101293","40794","1.00000","10.77000","10.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101294","40606","1.00000","14.37000","14.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101295","40602","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101296","40332","1.00000","19.17000","19.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101438","40972","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101441","40948","1.00000","6.57000","6.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101443","40929","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101941","41091","1.00000","16.77000","16.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101942","41113","1.00000","6.59400","6.5940000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101943","41102","1.00000","8.37000","8.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","101944","41079","1.00000","7.77000","7.7700000000",
"7907","2019-10-03 18:46:00","1","986","4","1","31035","19849","2.00000","51.95000","103.9000000000",
"13120","2020-09-27 12:57:00","1","146","4","1","62388","11709","1.00000","25.95000","25.9500000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62597","3332","1.00000","10.99000","10.9900000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62598","3306","1.00000","11.99000","11.9900000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62599","3308","1.00000","10.99000","10.9900000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62600","3333","1.00000","11.99000","11.9900000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62601","4395","1.00000","19.99000","19.9900000000",
"13181","2020-10-02 12:13:00","1","2958","4","1","62602","3377","0.00000","19.99000","0.0000000000",
"13540","2020-10-20 15:01:00","1","116","4","1","64753","31563","1.00000","38.95000","38.9500000000",
"13554","2020-10-05 14:19:00","1","1107","4","1","63016","8841","1.00000","29.95000","29.9500000000",
"13843","2020-11-03 12:32:00","1","2701","4","1","66080","29527","2.00000","29.95000","59.9000000000",
"14003","2020-11-10 16:37:00","1","1389","4","1","67072","31892","1.00000","23.95000","23.9500000000",
"14033","2020-11-12 12:32:00","1","3157","4","1","67400","3051","0.00000","7.95000","0.0000000000",
"14033","2020-11-12 12:32:00","1","3157","4","1","86220","37087","1.00000","9.95000","9.9500000000",
"14106","2020-11-14 12:39:00","1","131","4","1","60305","29922","1.00000","29.95000","29.9500000000",
"14272","2020-10-20 16:17:00","1","3031","4","1","69129","6774","1.00000","24.95000","24.9500000000",
