"id","date","invoices_distribution_types_id","clients_id","invoices_types_id","invoices_status_id","id","products_id","number","price","value",""
"6364","2020-10-03 15:50:00","1","1296","4","1","37433","21793","1.00000","4.77000","4.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37434","22022","1.00000","20.37000","20.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37435","17804","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37436","21871","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37466","23178","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37479","22853","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37505","22940","1.00000","17.37000","17.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37506","22878","1.00000","10.77000","10.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","37508","22880","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","38324","23278","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","38331","23711","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","38334","23320","1.00000","6.57000","6.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","38364","23292","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","40907","24177","1.00000","16.77000","16.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","41186","21920","1.00000","17.37000","17.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","41605","24313","1.00000","10.77000","10.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","43141","24850","1.00000","5.97000","5.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","43143","24835","1.00000","16.77000","16.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","43147","24834","1.00000","8.37000","8.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","43148","24818","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","43149","24821","1.00000","5.97000","5.9700000000",
